ulasan,sentimen
Saya suka dengan proses pembelajarannya cara menjelaskannya mudah sekali dipahami oleh mahasiswa terutama yang masih awam dengan akuntansi. Tetapi alangkah baiknya jika mulai waktu kuliah dipersiapkan terlebih dahulu laptop untuk gmeetnya, agar waktu mahasiswa masuk gmeetnya tidak terlalu lama menunggu di acc karena laptopnya butuh restart.,2
Video materinya dapat dipahami,2
the best,3
Bikin tegang pas pembelajaran tapi cepat mencairkan suasana pembelajaran lagi,3
Tingkatkan kinerja Ibu dan lebih semangat lagi dalam memberikan materi.,2
Banyak tugas tiap minggu, kurangi aja tugasnya,0
Lebih baik lagi,1
Jangan suka bikin tegang dalam pembelajaran pak :v nggada persiapan tau² di test satu - satu wkwkwkwk,2
baikk dan lebih baik lagi kuliah offline agar bisa bertemu secara langsung dengan beliau,3
Saya suka dengan metode pengajarannya sangat jelas dan mudah dipahami. Dan memberikan kesempatan mahasiswa nya untuk presentasi materinya itu juga membantu mahasiswa melatih dalam public speaking. Untuk kedepannya agar lebih di tingkatkan lagi dalam proses pengajarannya dan diselingi dengan candaan agar menyenangkan dalam proses pembelajarannya.,3
Lebih Baik lagi kedepannya saat mengajar,2
semoga kedepannya bisa mudah untuk dihubungi,0
Tidak ada saran dan kritik,3
Diusahakan supaya ada meet dalam pembelajaran bu,0
Sesama manusia harus saling menghargai dan memahami satu sama lain. tidak punya laptop adalah keadaan sulit, sinyal buruk adalah keadaan yang tidak diinginkan, terlambat sedikit karna keadaan sinyal adalah keadaan yang menyebalkan. itu semua diluar kendali tolong hargai sedikit saja.,
Saran : sudah cukup baik,2
Untuk pembelajarannya sudah cukup baik,2
Tidak ada saran dan kritik buat bapak. Dan terimakasih sudah menciptakan suasana belajar yang nyaman dan menyenangkan,3
Sudah jelas dalam memberikan materi pembelajaran serta memberikan kesempatan bagi mahasiswa nya untuk bertanya. Untuk kedepannya agar saat waktu mulai mata kuliah jangan kelamaan karena mahasiswanya kelamaan menunggu untuk acc gmeet.,2
Tidak ada hehe,3
baik dan lebih baik jika pembelajaran offline supaya materi lebih mudah tertangkap,3
Tidak ada saran dan kritik pak,3
Harus lebih jelas dalam menyampaikan materi,1
Tidak ada,3
Diusahakan supaya pembelajaran melalui meet pak,1
Untuk menyampaikan materi sudah cukup jelas,2
Sesekali tolong diadakan meet agar kami mahasiswa lebih paham lagi,1
Kritsarnya gak ada soalnya pak Ibnun dosen paling baik.,3
Sudah baik dalam menjelaskan materi pembelajarannya dan mudah dipahami. Untuk kedepannya agar setiap pertemuan jangan tugas terus. Teruntuk tugas video nya agar di kurangi bu, karena bikin videonya berkali kali take.,2
Sudah cukup semoga dapat ditingkatkan lagi,1
banyak mahasiswa yang tidak menyukai jika setiap pembelajaran hanya melalui vidio yt kadang kala kami membutuhkan gmeet/offline jika memungkinkan. dan kami sangat ingin ketika selesai mengumpulkan tugas, dibahas tugas tersebut agar kami tau yang salah dan yang benar.,0
Sudah cukup baik,2
Jarang masuk kelas untuk ngajar,0
sudah cukup jelas dalam pembelajaran parktikum maupun teori,2
Sudah baik dalam menjelaskan materi pembelajarannya. Apalagi kita kemarin praktek langsung kewirausahaan membuat mahasiswa terlatih dalam berwirausaha. Untuk kedepannya jika pandemi sudah hilang untuk praktek agar lebih diperdalam lagi dan waktunya diperbanyak agar mahasiswa tersebut terlatih mental wirausahanya.,3
baik tetapi agak menegangkan wkwk. untuk kedepannya agar lebih santuy buu pasti materi akan lebih mudah ditangkap,2
Tingkatkan kinerja Bapak dan lebih semangat lagi dalam memberikan materi.,1
Saya suka dengan metode pengajarannya sangat mudah dipahami oleh mahasiswanya dan tepat waktu dalam memulai mata kuliahnya. Untuk kedepannya agar dipertahankan dan ditingkatkan lagi agar lebih baik.,2
Ditingkatkan lagi dalam pembelajaranya,0
seharusnya beliau memberikan bahan materi seperti dosen lainnya. selama 1 semester tidak pernah memberikan materi, tidak pernah gmeet, ini sangat sia sia. bisa dibilang setiap mk hanya jam kosong. tugas pun jarang,0
Sudah cukup jelas,1
Sangat baik,3
baik dan akan lebih baik lagi jika offline,3
Dalam mengajar sudah baik dan mudah dipahami, untuk pembahasan kuis sebaiknya dibahas setelah kuis selesai supaya tahu letak kesalahannya,2
Sangat baik dalam penyampaian materi,3
Bu pipit dosen terbaik 🥰🥰🥰,3
Sangat baik,3
Dari saya sendiri kalau dosen tsb mengajar baik offline maupun online cara mengajarnya itu enak dan mudah dipahami juga.,3
Lebih sering lagi untuk menjelaskan lewat google meet atau zoom,3
Hanya menjelaskan lewat youtube,0
Sudah cukup,1
Dalam mengajar sudah baik dan mudah dipahami, untuk penugasan membuat video sebaiknya dikurangi sedikit soalnya hp saya gampang memorinya penuh ,2
Jarang menjelaskan materi,0
No comment,2
Kalo ngajar mudah dipahami terus kalo bisa neranginya jangan pake Vidio karna kurang phm,1
Mungkin bisa untuk sekali kali gmeet,0
Dalam mengajar sudah baik dan mudah dipahami,2
Menjelaskannya kurang terperinci,0
Lebih diperinci materi yang disampaikan yang akan dibuat untuk kuis mandiri,0
Lebih ditingkatkan lagi,0
Tidak ada kritik maupun saran,2
Sekali-kali menggunakan gmeet,0
Menjelaskannya di youtube kurang jelas, jarang gmeet,0
Sudah cukup baik sekali dan pertahankan,3
Tidak ada kritik dan saran,3
Sebaiknya perkuliahan dilakukan secara tatap muka saja,1
Lebih baik lagi untuk pembelajaran selanjutnya,1
Pertahankan dan perbaiki,2
Tugasnya dikurangin,0
Dalam pembelajaran agaknya lebih baik melalui gmeet saja dari pada memberikan video untuk di pelajari mahasiswa sendiri, karena dengan gmeet, mahasiswa bisa merasa lebih dekat dengan dosen,0
Pertahankan,3
Seharusnya ada hand book,0
Bu anita dosen yang aktif,memberikan metode belajarnya baik,,3
Sangat bagus,3
dipertahankan lg kualitas mengajarnya Pakk,3
Dalam menjelaskan mudah dipahami karena dikaitkan dengan contohnya hanya saja sedikit kecepatan,3
Dalam penyampaian materi kurang jelas,0
Jarang masuk,0
Baik , ramah, dan menyenangkan,3
Terlalu banyak tugas yang di berikan,0
Semuanya sudah baik jadi menurut saya tidak ada lagi saran dan kritik untuk beliau,3
jarang menjelaskan materi karena sibuk,0
Dalam menyampaikan materi mudah dipahami,2
Harus lebih bisa menjadikan suasana pembelajaran yang menyenangkan, sehingga mahasiswa tidak malas dan bosan untuk mendengarkan penjelasan materi saat pembelajaran berlangsung.,1
Memberikan kuis sesuai dengan materi,1
Ibu fitri orangnya baik, mudah diajak bercanda, dan perthankan dengan sifat ini karena menyenangkn, dan memberikan metode pembeljran yg baik,3
Tidak ada karena semuanya sudah baik menurut saya,3
tetap sabar ketika mengajar mahasiswa & tetap menjadi dosen yg baik,3
Menjelaskann materi agar lebih jelas lagi,1
Saran : untuk vocab deposit barangkali bisa disetting di GC seperti tugas-tugas yang lain supaya ada pengingat meminimalisir kemungkinan lupa, dan untuk gmeet supaya lebih sering dikombinasi dengan youtube jadi bisa diputar berulang-ulang. ,1
Semangat bu,2
Dalam menjelaskan mudah dipahami hanya saja sedikit kecepatan,2
Baik dan menyenangkan,3
tetap sabar ketika mengajar & tetap menjadi dosen yg baik,3
dipertahankan kualitas mengajarnya Bu👍,3
Lebih menjelaskan lagi dalam materi yang di sampaikan,1
Saat membuat video pembelajaran ada bagian yang gak ada suaranya, sebaiknya nanti sebelum upload di edit lagi,0
tetap sabar ketika mengajar mahasiswa, tetap jd dosen yg baik & humble,3
Untuk metode pembelajaran yang di lakukan pada semester ini sebenarnya tidak terlalu efisien, karena mahasiswa di minta untuk presentasi materi setiap minggu dan dosen hanya menambahkan penjelasan di saat sisa waktu tinggal sedikit, sehingga mahasiswa tidak terlalu faham tentang materi tersebut.,0
jangan pelit kasih nilai bu, hehe,0
Semoga menjadi lebih baik lagi,1
Semoga lebih sering melakukan pembelajaran daring baik lewat gmeet maupun zoom dan tidak membuat keputusan secara mendadak,0
Baik dan mudah dimengerti,2
Dalam menjelaskan lebih detail lagi,0
semoga bisa sabar menghadapi mahasiswanya,1
Lebih detail lagi karena akuntansi sulit,1
lebih detail lagi dalam mengajar karena materi akuntansi agak susah dipahami,0
Semoga lebih baik lagi dalam penyampaian materinya,0
dipertahankan kualitas mengajarnya Pak👍,3
Semuanya sudah baik jadi saya rasa tidak ada saran maupun kritik untuk beliau,3
Menjelaskan materi dengan jelas lagi,1
Ngomongnya halus banget, kurang tegas,0
Sebaiknya mata kuliah perbankan diberikan modul untuk belajar agar lebih memahami materi tentang perbankan.,0
semoga kedepannya bisa sabar menghadapi mahasiswanya apalagi ketika tidak ada mahasiswa yg bertanya atau tidak ada yg menjawab pertanyaan ibu, karena setiap mahasiswa pasti berbeda karakternya dan berbeda jaringan internetnya.,1
tetap sabar ketika mengajar & tetap jd dosen yg baik,2
Belum deh, soalnya bu pipit baikkkk,3
tetap sabar ketika mengajar mahasiswa & tetap jd dosen yg baik,2
Baik dan memberi metode pembelajaran yg cukup dimengerti,3
tetap sabar ketika mengajar mahasiswa, tetap jd dosen yg baik, dan sehat selalu bapak,3
Semoga tidak lagi mengtidakhadirkan mahasiswa ketika mahasiswa tersebut tidak menjawab saat dipanggil saat pembelajaran daring berlangsung,kecuali mahasiswa tersebut sudah menjawabnya lewat room chat yang ada di gmeet/zoom dengan alasan yang logis dan bisa diterima ,0
Ngga ada,3
tetap sabar ketika mengajar mahasiswa dan tetap jd dosen yg baik,3
kalaupun tidak ada meet seenggaknya buat video materi atau buat ppt materi jangan mahasiswa di biarkan cuma absen di e kuliah aja ketika mau uas kami bingung mau mempelajari apa,0
Ibu saya sangat suka di ajar sama bu hanum, walaupun notabenya dosen baru penjelasannya sangat mudah and so friendly ,3
Semoga bisa tidak terlalu cepat ketika menjelaskan,1
Tidak ada karena menurut saya semuanya sudah sangat baik,3
Sangat mudah di pahami pak. Namun ya di pertengahan semester harus ganti dosen,3
Mohon maaf ibuk, jika bertemu kembali di semester berikutnya lebih di tingkatkan kembali untuk hadir dalam menyampaikan materi,0
Semoga bisa lebih tegas dalam mengajar,0
Video pembelajarannya backsongnya lebih dikecilin lagi volumenya, jadi suaranya ibu lebih kedengeran,0
Sehat selalu pak:),3
Ibu yang keren kalo ngajar selalu make with digital learning, mudah dipahami juga bu ,3
Sebaiknya ketika sehabis kuis, kuisnya dibahas karena saya sulit mengetahui yang mana jawaban yg salah.,1
Assalamualaikum,3
Sehat selalu ibu:),3
Baik banget,mudah mempelajarinya dan menyenangkan, gampang diajak becanda dan saya harap pertahankan sifat itu agar tidak membuat bosan waktu pembelajaran,3
Gak dulu, bu Hanummm baikkk lucuuuuu,3
Kalau menjelaskan materi kurang mendalam,contoh saat menjelaskan soal latihan lewat gmeet tidak menjelaskan tutorial menyelesaikan,0
Ada beberapa materi yang tidak ada atau tidak dijelaskan,0
Sarannya lebih baik kedepann nggeh bu, supaya kami lebih dekat lagi dengan ibu, walaupun ibu super sibuk sekali, kami bisa memaklumi bu. Semangat terus bu,0
sudah sangat baik,3
Apabila menjelaskan materi jangan terlalu cepat supaya kami bisa paham,1
Materi yang dijelaskan mudah dipahami apabila offline, tetapi ketika online saya mengalami sedikit kesusahan.,2
Ketika dihubungi mahasiswa masih kurang tanggap,0
Ya lebih semangat klo ngajar pak,0
Semoga diperbaiki lagi saat waktunya matkul itu harus ada kepastian dulu biar mahasiswa nya gak nunggu lama lama.,0
Udah mantul keren ngajarnya komunikatif sekali, walaupun via daring bu pipit luar biasa. We love you bu💜 sanagt mudah di pahami,3
Lebih pelan dalam menjelaskan materi,1
Gak ada, soalnya bu pipit baikkk hatttiii,3
Mantaulll,3
Interaksi dengan mahasiswa cukup, karena lebih sering share materi di youtube, tapi materi cukup mudah dipahami.,3
Terlalu cepat saat menjelaskan materi,0
Penjelasannya sudah cukup mudah untuk dipahami karena mangaitkan materi dengan contoh riil,2
Lebih ditingaktkan lagi nggeh bu komunkasi dengn mahasiswanya bu😊😊,1
Saat menjelaskan materi jangan terlalu cepat,1
Cukp baik,1
Penyampai nya tertata dan mudah dipahami,2
lebih baik lg,2
Kren bu i like it,3
Dosen ketika menerangkan materi terlalu cepat bicaranya. Tapi masih bisa dipahami. Mungkin akan lebih paham ketika offline, karena sebenarnya saya sedikit kesusahan.,1
Cara mengajar dosen yang menyenangkan membuat materi yang sedang dipelajari menjadi lebih mudah untuk dipahami.,3
Mantul pak lanjutkan,3
Sarannya berilah materi saat jam mk berlangsung jika ibu berhalangan hadir,0
Lebih banyakin via gmeet bu tapi ibu menerangkan jangan cuma di yt aja rada membosankan buu,1
Semuanya baik, lebih baik jika sesekali kuliah offline memberi kesempatan mahasiswa yang masih bingung dengan materi, agar lebih jelas.,2
Mudah dipahami dalam menyampaikan materi.,3
Tdk ada,3
Sangat mudah dipahami ketika menyampaikan materi, dan memberikan kesempatan mahasiswa untuk berpartisipasi dalam menjawab agar mendapat nilai tambahan.,3
Cara penyampaian materi sangat mudah dipahami dan gaya belajarnya juga sangay menyenangkan.,3
Sudah sangat baik dalam mengajar,3
Untuk matkul mengenai praktikum akuntansi sangat direkomendasikan karna penyampain tertata dan mudah dipahami,3
Sebaiknya sesekali memberikan quiz, agar mahasiswa mendapat gambaran ketika UTS/UAS. Karena saya sewaktu uts mengalami kesulitan karena sangat jarang diberikan soal latihan.,1
lebih tepatnya pembelajarannya harus belajar sendiri dulu baru dijelaskan lebih rinci,1
Perbaiki lagi metode pembelajarannya,0
Sudah baik dalam penjelasan mengenai materi yang diberikan , tetapi terkadang kita bosan kalau materi yang diberikan terlalu banyak tidak dipersingkat , singkata tapi dapat dipahami daripada kebanyakan tapi mahasiswa kurang paham akan materi.,2
Mohon maaf, Ketika dalam menyampaikan materi via video terlalu pelan sehingga terkadang membuat saya merasa cepat bosan mendengarkan materi. Terima kasih,0
Jarang hadir di jam perkuliahan. Tetapi cukup dalam menyampaikan materi yang akan ada saat UTS/UAS,1
Perbaiki lagi metode perkuliahannya,0
bagus,2
Cara penyampaian materi harus lebih jelas lagi dan gaya belajarnya supaya lebih menyenangkan.,0
diharapkan dalam mengajar tepat waktu,0
Sudah baik materi yang diajarkan bisa dipahami,3
Sara sebaiknya kalo matkul yang praktek praktek gini offline wlaupun nantinya dibagi 2 sesi dikarenakan ketika online kasian juga mahasiswa yg tidak memiliki lptop maupun komputer tidak bisa mempraktekan juga ketika dosen sedang menjelaskan,0
Lebih baik belajar offline, sarannya sih lebih baik dikasih vidio titorial pak,1
Perbaiki lagi metode perkuliahannya,0
materinya sulit dipahami,0
Cukup,1
Dipertahankan metode perkuliahannya,3
Penjelasan materinya sangat baik dan metode pembelajarannya juga tidak membosankan.,3
Dosennya enak cuma jarang masuk kelas ,akan lebih baiknya lagi diperbaiki ibu,2
ngga ada face to face (semua dijelaskan via yt) jadi banyak yg ngga paham,0
Lebih banyakin materi,1
Cara mengajar yang sangat menyenangkan sehingga tidak membuat keadaan didalam kelas tidak begitu tegang.,3
Lebih detail lagi menerangkannya,1
Sudah baik,2
Diharapkan dalam mengajar menggunakan media lain selain youtube, misalnya setiap minggu ada kelas via online lewat google meet. Dan juga dalam memberikan nilai jangan pelit dan disamaratakan nggih ibu:) setidaknya sesuai dengan kerja keras/usaha mahasiswanya. Terimakasih,0
Jangan cepet cepet menerangkannya,0
Diperbaiki metode perkuliahannya,0
Sudah sangat baik, walaupun pengganti tetapi bu fitri mampu menyesuaikan dengan sangat baik dalam mengajarkan juga sangat mudah dipahami.,3
Cara penyampaian materi yang sangat menyenangkan sehingga memudahkan kami untuk memahami materi.,3
Diharapkan tepat waktu dalam mengajar via google meet, terimakasih,0
Semangat terus bu untuk membuat video materinya,3
Dipertahankan metode perkuliahannya,3
Sudah sangat baik dalam mengajar, terimakasih pak,3
Kalo disuruh nonton film jangan yang berbayar pa hehe,3
Diperbaiki lagi metode perkuliahannya,1
"sering"" offline pak,1"
Sudah baik tidak ada kritikan,3
Untuk  memberikan materi atau tugas  sesuai jadwal MK,1
Lebih semangat lagi di sesi penjelasanya,1
Dalam menjelaskan materi di harapkan tidak terburu buru,0
"Sering"" meeting class bu,0"
Diharapkan dosen memberikan modul kepada mahasiswa,0
Baik, tapi akan lebih baiknya lagi jangan selalu menggukan yt dalam  pembelajaran, tetapi ada kontak menggunakan meet agar lebih enak berkomunikasinya.,1
Contoh soal dan soal disamain bu penjelasanya jadi tidak bingung pas mengerjakan hehe,1
Pembelajaran sma ujian materinya di samain pa hehe,1
Terus diperbaiki dan dikembangkan untuk kedepannya,1
Dalam menjelaskan materi yang disampaikan tidak secara buru buru,1
Sudah baik, terkadang tidak ada kepastian mau meet atau tidak lebih baik ada komunikasi yang lebih agar mudah untuk mengetahui nya ,1
"Ujianya jangan susah"" dan jangan kebanyakan menghitung bu soalnya waktunya ga banyak xixi,1"
Terus diperbaiki dan dikembangkan agar lebih baik,1
Lebih fokus lagi dalam menjelaskan materinya agar mahasiswa mengerti dan paham akan materi yg di jelaskan ibu,0
Sedikit saran agar adanya materi dari dosen sendiri agar mahasiswa juga punya referensi dari dosen yang bersangkutan,0
Saran diperbanyak lagi dalam gmeet,0
Sudah baik , tetapi terkadang terlalu kecepetan dalam pembelajaran jadi kurang memahami ,1
Saran agar ibu mengajar kelas ini untuk selanjutnya,3
Dalam mengajar sangat baik,sayangnya tidak ada handbook ,2
Sebaiknya dalam metode pengajaran menggunakan gmeet saja Jangan menggunakan video.,0
Sarannya jangan hanya menonton video di YouTube saja diselingi dengan melakukan gmeet.,0
Terus dikembangkan agar bisa menjadi lebih baik lagi,1
Saran ditambah dengan modul,1
Saran agar lebih sering menjelaskan secara meeting daripada hanya video, agar lebih mudah dimengerti.,1
"Baik, tetapi kadang ngga dikasih kepastian mau meet jam berapa padahal udah waktunya meet tapi ibunya belum masuk"" jadi bingung sendiri  , diperbaiki lagi ibu agar lebih baik .,1"
Dosen seringkali tidak masuk tanpa ada konfirmasi dan tiba tiba mengumumkan kelas pengganti secara mendadak tapi tidak apa apa karna UTS nya gampang:),0
Saat kuis diekuliah agar dapat ditampilkan jawaban yg salah agar mahasiswa dapat mempelajarinya kembali dg baik karena yg ditampilkan hanya nilai nya saja.,0
Baik banget,gaul juga,cara mengajar yang asik,sering memberi extra poin untuk mahasiswa yang aktif, tugasnya juga unik,3
Dalam mengajar cukup dipahami dan syukur-syukur bisa offline aja karena biar bisa mencakup materinya dengan luas oleh mahasiswa,3
Saran agar dosen nemberi materi yang lebih lengkap lagi selain yang ada di modul.,1
Selama pembelajaran memberikan materi yg cukup mudah dipahami,3
Tidak ada kritik. Sangat baik.,3
Saran lebih sering gmeet,1
Semoga dalam mengajar bisa lebih baik lagi dari sebelumnya,1
Sudah 2 semester di ajar Bu Hetika,cara mengajarnya mudah dipahami,3
Semoga bisa offline agar materi dapat diterima dengan lebih baik lagi.,2
Saran seharusnya lebih sering gmeet,1
Sangat baik,mungkin karna ini mata kuliah praktikum jadi agak susah diikuti secara daring.,3
Lebih tepat waktu apabila sudah ada jam mata kuliah nya,0
Untuk penjelasan mohon dipercepat lagi,1
Mohon luangkan waktu untuk mengajar,0
Baik dan lebih ditingkatkan lagi,2
Lebih baik memberikan modul untuk referensi belajar,1
Jika menjelaskan mohon agar di perjelas lagi,1
Semoga kedepannya lebih baik lagi,2
Dalam mengajar mudah dipahami dan kalau bisa lebih asik, menarik lagi dalam mengajar biar jangan spaneng ,2
Kurang dalam menjelaskan materi yang di sampaikan,0
Baik dan dalam penjelasannya pun mudah dipahami,3
Saat menjelaskan dimohon suaranya besar dan jelas,0
Tidak ada, karena saya suka diajar bu anita,3
Jarang masuk memberikan materi ke pada mahasiswa nya jadi terkadang mahasiswa belajar sendiri, dosen hanya memberikan tugas saja ,0
Semoga dalam mengajar bisa lebih baik lagi agar mahasiswa lebih bisa menguasai materi.,1
Kadang terlalu cepat dalam mengajar,1
Saat menjelaskan materi,0
Semoga kedepannya dosen memberikan bekal materi agar tidak berpatokan pada makalah perkelompok saja yg dipresentasikan setiap pertemuan walopun dosen juga menjelaskan tetapi butuh materi tambahan juga dari dosen nya dalam bentuk file,0
Sebaiknya saat MK mengisi waktu luang untuk gmeet,0
Dalam mengajar cukup baik mudah dipahami semoga ilmunya bermanfaat yah pak, bisa diterapkan kedunia nyata dengan detail dan bisa menyenangkan lagi dalam mengajar biar jangan spaneng mahasiswa nya.,2
Dosen favorit saya karna ngajarnya jelas,3
Sudah cukup semoga kedepannya bisa lebih baik lagi dalam mengajar. Kalau bisa ada tambahan untuk menyampaikan materinya tidak berpatokan pada video di youtube saja.,1
Tidak ada saran,3
Tidak ada, karena sudah mengajar dengan baik,3
"Saran : Cara mengajar dan menjelaskan materinya harus ditingkatkan lg supaya jauh lebih baik untuk kedepannya.
Kritik : Tidak ada,1"
Sebaiknya saat MK dilakukan gmeet,1
Tidak ada saran sudah sangat baik dalam mengajar,3
Lebih transparan dalam pemberian nilai di uts kemarin, karena banyak mahasiswa yg mengeluhkan jawaban sudah benar sesuai materi tetapi nilai direntang 70 ke atas,0
Kedepannya makin rajin dalam menyampaikan materi baik lagi dalam mengajar, agar kami semua bisa mencakup materi yang ibu berikan dan juga kedepannya supaya bisa bikin pembelajaran yang menyenangkan dalam kelas maupun daring. Terimakasih🙏,0
Semoga dalam menjawab chat mahasiswa bisa lebih ditingkatkan lagi, karena cukup lama dan kadang cuma di read saja,0
Sebaiknya dosen dalam menjelaskan materi pada saat daring harus lebih diperjelas lg supaya mahasiswa bisa lebih mudah memahaminya.,1
Dalam menyampaikan materi jangan cepet-cepet agar kami bisa mencakup nya dengan mudah tapi walaupun cepet mudah dipahami tapi kedepannya lebih dipelanin lagi yah Bu, agar kami bisa mencakup nya lebih baik lagi. Terimakasih🙏,2
Semoga kedepannya bisa lebih baik lagi,1
